17-12-8-8-8-0 1 1 1 1 1 0
17-12-9-9-9-0 1 1 1 1 1 0
17-13-6-6-6-0 5 4 1 1 1 0
17-13-7-7-7-0 1 1 0 0 0 0
17-13-8-8-8-0 3 3 2 2 2 0
17-13-9-9-9-0 2 0 0 0 0 0
17-14-9-9-9-0 2 2 1 1 1 0
17-8-4-4-4-0 2 0 0 0 0 0
17-8-5-5-5-0 3 2 2 2 2 0
17-9-3-3-3-0 2 1 0 0 0 0
17-9-5-5-5-0 13 6 4 4 4 0
18-10-4-4-4-0 6 3 1 1 1 0
18-10-6-6-6-0 1 1 1 1 1 0
18-11-4-4-4-0 6 4 0 0 0 0
18-12-4-4-4-0 1 1 1 1 1 0
18-12-6-6-6-0 5 4 0 0 0 0
18-12-7-7-7-0 3 2 2 2 2 0
18-12-8-8-8-0 1 1 1 1 1 0
18-13-6-6-6-0 3 2 0 0 0 0
18-13-7-7-7-0 5 3 1 1 1 0
18-13-8-8-8-0 6 5 2 2 2 0
18-14-7-7-7-0 3 3 2 2 2 0
18-14-8-8-8-0 5 5 3 3 3 0
18-8-4-4-4-0 1 0 0 0 0 0
18-9-3-3-3-0 4 2 0 0 0 0
18-9-4-4-4-0 8 3 2 2 2 0
18-9-5-5-5-0 6 4 3 3 3 0
19-10-3-3-3-0 2 2 0 0 0 0
19-10-4-4-4-0 5 4 1 1 1 0
19-10-5-5-5-0 1 1 1 1 1 0
19-10-6-6-6-0 1 1 0 0 0 0
19-11-4-4-4-0 9 3 1 1 1 0
19-11-5-5-5-0 13 8 4 4 4 0
19-11-6-6-6-0 7 3 3 3 3 0
19-12-4-4-4-0 3 2 1 1 1 0
19-12-5-5-5-0 6 4 0 0 0 0
19-12-6-6-6-0 3 2 0 0 0 0
19-12-7-7-7-0 9 6 1 1 1 0
19-12-8-8-8-0 1 1 1 1 1 0
19-13-5-5-5-0 2 1 1 1 1 0
19-13-7-7-7-0 4 3 2 2 2 0
19-13-9-9-9-0 1 1 1 1 1 0
19-14-5-5-5-0 3 2 1 1 1 0
19-14-6-6-6-0 8 5 1 1 1 0
19-14-7-7-7-0 8 6 4 4 4 0
19-14-8-8-8-0 3 3 2 2 2 0
19-14-9-9-9-0 10 8 4 4 4 0
19-15-12-12-12-0 2 1 1 1 1 0
19-15-4-4-4-0 4 4 0 0 0 0
19-15-5-5-5-0 3 2 1 1 1 0
19-15-7-7-7-0 1 1 1 1 1 0
19-15-8-8-8-0 4 4 2 2 2 0
19-15-9-9-9-0 2 2 1 1 1 0
19-16-8-8-8-0 3 2 2 2 2 0
19-8-3-3-3-0 2 1 0 0 0 0
19-8-4-4-4-0 1 0 0 0 0 0
19-9-3-3-3-0 12 6 2 2 2 0
19-9-4-4-4-0 1 1 1 1 1 0
19-9-5-5-5-0 1 1 0 0 0 0
20-10-4-4-4-0 3 0 0 0 0 0
20-10-6-6-6-0 1 1 1 1 1 0
20-11-4-4-4-0 1 1 0 0 0 0
20-11-5-5-5-0 2 1 1 1 1 0
20-11-6-6-6-0 4 1 0 0 0 0
20-12-3-3-3-0 2 1 0 0 0 0
20-12-4-4-4-0 7 4 2 2 2 0
20-12-5-5-5-0 11 5 0 0 0 0
20-12-6-6-6-0 5 3 3 3 3 0
20-12-9-9-9-0 3 2 2 2 2 0
20-13-5-5-5-0 13 8 4 4 4 0
20-13-6-6-6-0 2 2 1 1 1 0
20-13-7-7-7-0 12 8 3 3 3 0
20-13-9-9-9-0 1 0 0 0 0 0
20-14-5-5-5-0 3 2 2 2 2 0
20-14-6-6-6-0 10 5 2 2 2 0
20-14-7-7-7-0 1 1 1 1 1 0
20-15-10-10-10-0 1 1 1 1 1 0
20-15-12-12-12-0 8 7 6 6 6 0
20-15-4-4-4-0 6 4 1 1 1 0
20-15-6-6-6-0 5 4 1 1 1 0
20-15-7-7-7-0 2 2 1 1 1 0
20-15-8-8-8-0 5 4 2 2 2 0
20-15-9-9-9-0 1 1 1 1 1 0
20-16-4-4-4-0 2 1 0 0 0 0
20-16-7-7-7-0 1 1 1 1 1 0
20-16-8-8-8-0 1 1 1 1 1 0
21-11-4-4-4-0 4 4 1 1 1 0
21-11-5-5-5-0 1 0 0 0 0 0
21-12-5-5-5-0 1 0 0 0 0 0
21-12-6-6-6-0 8 3 2 2 2 0
21-12-8-8-8-0 5 2 2 2 2 0
21-13-5-5-5-0 1 1 0 0 0 0
21-13-6-6-6-0 4 2 1 1 1 0
21-13-7-7-7-0 2 1 0 0 0 0
21-13-8-8-8-0 2 0 0 0 0 0
21-13-9-9-9-0 2 2 2 2 2 0
21-14-10-10-10-0 4 3 2 2 2 0
21-14-12-12-12-0 1 0 0 0 0 0
21-14-5-5-5-0 6 5 1 1 1 0
21-14-6-6-6-0 4 2 1 1 1 0
21-14-7-7-7-0 8 7 3 3 3 0
21-14-8-8-8-0 9 7 4 4 4 0
21-14-9-9-9-0 5 2 1 1 1 0
21-15-10-10-10-0 1 1 1 1 1 0
21-15-11-11-11-0 2 2 2 2 2 0
21-15-12-12-12-0 6 5 4 4 4 0
21-15-5-5-5-0 3 3 0 0 0 0
21-15-6-6-6-0 13 8 2 2 2 0
21-15-7-7-7-0 23 21 11 11 11 0
21-15-8-8-8-0 12 9 4 4 4 0
21-15-9-9-9-0 8 6 5 5 5 0
21-16-11-11-11-0 1 1 1 1 1 0
21-16-5-5-5-0 1 1 0 0 0 0
21-16-8-8-8-0 2 2 1 1 1 0
21-16-9-9-9-0 6 5 3 3 3 0
21-17-6-6-6-0 1 1 1 1 1 0
22-11-4-4-4-0 2 1 0 0 0 0
22-11-5-5-5-0 5 1 0 0 0 0
22-11-8-8-8-0 1 1 1 1 1 0
22-12-5-5-5-0 5 2 1 1 1 0
22-12-6-6-6-0 1 0 0 0 0 0
22-12-8-8-8-0 1 0 0 0 0 0
22-13-4-4-4-0 4 2 1 1 1 0
22-13-5-5-5-0 3 3 1 1 1 0
22-13-6-6-6-0 1 1 0 0 0 0
22-13-7-7-7-0 1 1 1 1 1 0
